,lat,lng,floor,floor_total,contractArea,realArea,deposit,gu_dobong,gu_dongdaemun,gu_dongjak,gu_eunpyeong,gu_gangbuk,gu_gangdong,gu_gangnam,gu_gangseo,gu_guemcheon,gu_guro,gu_gwanak,gu_gwangjin,gu_jongno,gu_jung,gu_jungnang,gu_mapo,gu_nowon,gu_seocho,gu_seodaemun,gu_seongbuk,gu_seongdong,gu_songpa,gu_yangcheon,gu_yeongdeungpo,gu_yongsan,direction_남동향,direction_남서향,direction_남향,direction_동향,direction_북동향,direction_북서향,direction_북향,direction_서향,distance,floor_rate,area_rate
0,37.667483,127.043912,8,13,17,13,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17558.994851819036,0.6153846153846154,0.7647058823529411
1,37.650608,127.036669,9,9,19,12,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17555.883553385225,1.0,0.631578947368421
2,37.669212,127.031556,2,4,19,16,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17555.98575248208,0.5,0.8421052631578947
3,37.654263,127.044656,3,4,19,15,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17558.188140231505,0.75,0.7894736842105263
4,37.669212,127.031556,4,4,19,16,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17555.98575248208,1.0,0.8421052631578947
5,37.644541,127.040242,3,3,20,18,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17556.334554519246,1.0,0.9
6,37.688621,127.041843,3,3,34,23,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17560.06202571829,1.0,0.6764705882352942
7,37.685533,127.04424,2,5,39,26,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17560.43831467169,0.4,0.6666666666666666
8,37.648608,127.037314,2,4,20,20,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17555.896832672257,0.5,1.0
9,37.655406,127.041585,2,8,89,16,3500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17557.49392033706,0.25,0.1797752808988764
10,37.655381,127.037474,0,7,20,19,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17556.447518555837,0.0,0.95
11,37.646524,127.036144,3,4,92,23,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17555.44265167131,0.75,0.25
12,37.669212,127.031556,3,5,16,12,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17555.98575248208,0.6,0.75
13,37.654263,127.044656,3,4,19,17,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17558.188140231505,0.75,0.8947368421052632
14,37.671469,127.044935,2,3,21,18,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17559.555085772183,0.6666666666666666,0.8571428571428571
15,37.646607,127.034324,3,7,29,24,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17554.986492749424,0.42857142857142855,0.8275862068965517
16,37.655343,127.014552,2,5,20,13,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17550.621276208352,0.4,0.65
17,37.648608,127.037314,2,4,19,19,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17555.896832672257,0.5,1.0
18,37.65443,127.043972,2,3,16,16,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17558.026920161683,0.6666666666666666,1.0
19,37.672573,127.045572,4,4,30,30,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17559.800121247514,1.0,1.0
20,37.647331,127.032592,3,3,23,19,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17554.600961662025,1.0,0.8260869565217391
21,37.65443,127.043972,2,3,20,15,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17558.026920161683,0.6666666666666666,0.75
22,37.647331,127.032592,2,3,29,28,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17554.600961662025,0.6666666666666666,0.9655172413793104
23,37.682602,127.042938,3,3,20,14,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17559.88658916225,1.0,0.7
24,37.644791,127.040467,0,3,18,17,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17556.41054501177,0.0,0.9444444444444444
25,37.634851,127.038836,3,4,24,24,14500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17555.247862027096,0.75,1.0
