,atclNo,cortarNo,lat,lng,atclNm,atclStatCd,rletTpNm,rletTpCd,tradTpNm,tradTpCd,flrInfo,prc,rentPrc,spc1,spc2,direction,atclFetrDesc,tagList,repImgUrl,repImgThumb
0,2233923900,1141011800,37.582268,126.927049,기타,R0,원룸,C01,전세,B1,고/7,23000,0,40,23,북동향,명지전문대 앞 위치한 EV있는 풀옵션 신축빌라,"['10년이내', '융자금없는', '소형평수']",/20220930_26/land_naver_1664541361494JPdVJ_JPEG/ae7aa2493294c42de63f6da85851a742.JPG,f130_98
1,2233920344,1141011100,37.589816,126.947197,홍제역해링턴플레이스,R0,아파트,A01,전세,B1,17/20,65000,0,112,84,남동향,"첫 입주, 시스템에어컨5대","['2년이내', '융자금없는', '역세권']",/20220930_180/land_naver_1664542080514dgAFQ_JPEG/968681df-40bc-11ed-b25c-505dacfbaa5c_03.jpg,f130_98
2,2233688049,1141011700,37.571195,126.926693,단독,R0,단독/다가구,C03,전세,B1,2/2,180000,0,331,331,남동향,공실 즉시입주,"['2년이내', '융자금없는', '화장실네개이상']",/20220929_259/land_naver_1664457844403uXwmq_JPEG/3929a1b06cee7717954b49f3d0d3841d.JPG,f130_98
3,2233716980,1141011600,37.560734,126.928081,일반원룸,R0,원룸,C01,월세,B2,B1/5,2000,70,47,35,남향,사무실사용 가능한 복층형 원룸,"['10년이내', '융자금없는', '역세권']",/20220929_86/land_naver_1664458260439CdSbw_JPEG/6df25d30-3ff9-11ed-b41c-48df379cc9e4_03.jpg,f130_98
4,2233717708,1141011600,37.560734,126.928081,일반원룸,R0,원룸,C01,월세,B2,5/5,1000,65,27,25,남향,조용한 주택가 주차가능한 복층형 원룸,"['10년이내', '융자금없는', '역세권']",/20220929_234/land_naver_166445820050335zfj_JPEG/49ba5c20-3ff9-11ed-b6e8-48df37ae3dc4_03.jpg,f130_98
5,2233729992,1141011700,37.572508,126.931235,빌라,R0,빌라,C02,매매,A1,1/2,265000,0,162,137,남향,연희동 라온채 입주 물건 ,"['10년이내', '1층', '대형평수']",/20220929_89/land_naver_1664457423054WQyNL_JPEG/4d5fb59602e16dc325e7d78aa07010e6.JPG,f130_98
6,2233455000,1141011100,37.580329,126.949867,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,9/17,80000,0,115,84,남향,안산초등근접 안산전망좋음 에어콘4대 인덕션등,"['2년이내', '융자금없는', '역세권']",/20220928_62/land_naver_1664371441704XMWrX_JPEG/ec4cf92461f6fe9e53da56eb1b2cd478.JPG,f130_98
7,2233288727,1141011100,37.589816,126.947197,홍제역해링턴플레이스,R0,아파트,A01,월세,B2,17/20,50000,60,112,84,남서향,"추천 판상형구조 , 햇볕도 전망도 굿","['2년이내', '융자금없는', '역세권']",/20220927_114/land_naver_1664287140447bOh5c_JPEG/020b221f-3e6b-11ed-8613-505dacfba98a_03.jpg,f130_98
8,2233421586,1141012000,37.583791,126.923907,일반원룸,R0,원룸,C01,월세,B2,2/4,300,35,24,15,남동향,명지전문대명지대후문에 위치한 저렴한 원룸,"['15년이내', '융자금없는', '화장실한개']",/20220927_13/land_naver_1664286600509l6UXr_JPEG/bffe3731-3e69-11ed-bbda-505dac8c37f3_03.jpg,f130_98
9,2233309776,1141011100,37.589661,126.946255,홍제역해링턴플레이스,R0,아파트,A01,매매,A1,14/19,143000,0,112,84,남서향,"시스템에어컨3대,즉시입주가능함","['2년이내', '역세권', '대단지']",/20220930_220/land_naver_1664525220374uUKP0_JPEG/549b457d-4095-11ed-a14d-505dac8c3607_03.jpg,f130_98
10,2233104376,1141011100,37.589816,126.947197,홍제역해링턴플레이스,R0,아파트,A01,전세,B1,15/20,70000,0,112,84,남서향,"급전세 홍제역해링턴플레이스 첫입주, 시스템에어컨 5대 로얄동 로얄층","['2년이내', '융자금없는', '역세권']",/20220926_38/land_naver_1664197140458Xzf5H_JPEG/768806e9-3d99-11ed-8613-505dacfba98a_03.jpg,f130_98
11,2234148968,1141011100,37.592166,126.94807,인왕산벽산,R0,아파트,A01,전세,B1,11/18,50000,0,107,84,남동향,"내부올수리,입주협의가능,홍제역도보7분내외","['25년이내', '융자금없는', '올수리']",/20221001_191/land_naver_1664591904911yg7Gg_JPEG/temp_reg_image_1.jpg,f130_98
12,2234149045,1141011100,37.582794,126.950919,무악청구1차,R0,아파트,A01,매매,A1,12/17,100000,0,104,84,동향,무악재5분 하시입주가 입구선호동 인왕산숲세권 교통편리 편의성좋아요,"['25년이상', '역세권', '방세개', '화장실두개']",,
13,2234163633,1141011000,37.560003,126.953477,신촌푸르지오,R0,아파트,A01,매매,A1,2/17,149000,0,115,84,남향,DAOL전.속 급.매 초투저렴 입주가능.뛸수있는세대,"['10년이내', '필로티', '방세개']",/20221001_179/land_naver_1664599208256oFRgQ_JPEG/1634532379607631.jpg,f130_98
14,2234135005,1141011000,37.559974,126.951307,신촌푸르지오,R0,아파트,A01,월세,B2,3/18,30000,135,81,59,남서향,"o.k추천 정상협의입주,앞이 트인 거실 구조,","['10년이내', '융자금적은', '방세개']",/20221001_100/land_naver_1664593280281rxIxb_JPEG/temp_reg_image_2.jpg,f130_98
15,2234126489,1141011100,37.581684,126.95175,무악청구1차,R0,아파트,A01,월세,B2,13/15,40000,70,104,84,남향,"최고 로얄동층,즉시입주,올수리, 무악재역 5분 강북 도심 접근성 탁월","['25년이상', '융자금없는', '올수리', '역세권']",,
16,2234139168,1141011800,37.59536,126.94367,홍은벽산,R0,아파트,A01,월세,B2,5/15,20000,70,78,58,동향,샷시포함특올수리 숲세권 신혼부부추천 전세도가능,"['25년이상', '융자금없는', '올수리', '대단지']",,
17,2234160174,1141011000,37.558572,126.955843,e편한세상신촌,R0,아파트,A01,매매,A1,19/34,185000,0,115,84,동향,"입주,아현초역세권,컨디션굿 풀에컨,남산타워뷰","['10년이내', '역세권', '대단지', '방세개']",,
18,2234138689,1141011000,37.560963,126.953156,신촌푸르지오,R0,아파트,A01,매매,A1,12/17,165000,0,114,84,남동향,"o.k강추,최상급 남산타워뷰,종일 밝고 해가 좋은 거칠것 없는 뷰","['10년이내', '방세개', '화장실두개']",/20221001_15/land_naver_1664590944083rhoAB_JPEG/temp_reg_image_1.jpg,f130_98
19,2234149294,1141011100,37.58292,126.95168,무악청구1차,R0,아파트,A01,매매,A1,1/12,95000,0,104,84,동향,무악재역세권 내부특급올수리 11월입주가능 아이키우기좋은집 어린이집바로앞,"['25년이상', '올수리', '역세권']",/20221001_77/land_naver_1664599398872r8seA_JPEG/temp_reg_image_1.jpg,f130_98
0,2233182513,1141011100,37.581725,126.95018,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,4/15,52000,0,75,55,남서향,,"['2년이내', '융자금없는', '역세권']",/20220926_279/land_naver_16641963031593Q7cp_JPEG/f6c9817eb200ac173e559dcb9104cae2.JPG,f130_98
1,2234121576,1141011000,37.5596,126.953614,신촌푸르지오,R0,아파트,A01,전세,B1,13/14,83000,0,146,109,남서향,"Happy 내부넓은31p형 2룸,화2 초입동 생활편한트인뷰","['10년이내', '융자금없는', '역세권']",/20221001_199/land_naver_1664589804864R9wKc_JPEG/temp_reg_image_3.jpg,f130_98
2,2234122332,1141011000,37.557931,126.955603,e편한세상신촌,R0,아파트,A01,매매,A1,19/20,180000,0,117,84,남동향,소유주직접의뢰  올확장  올에어컨  영구 남산조망뷰  탁틔인조망,"['10년이내', '역세권', '대단지']",/20221001_171/land_naver_1664588042004CJ1d2_JPEG/temp_reg_image_1.jpg,f130_98
3,2234113289,1141011100,37.581684,126.95175,무악청구1차,R0,아파트,A01,전세,B1,13/15,60000,0,104,84,남향,"최고 로얄동층,즉시입주,올수리, 무악재역 5분 강북 도심 접근성 탁월","['25년이상', '융자금없는', '올수리', '역세권']",,
4,2234097390,1141011100,37.580975,126.952111,무악청구1차,R0,아파트,A01,월세,B2,4/10,30000,100,104,84,남향,내부올수리깨끗 인왕산조망 깨끗하고좋습니다 조용한남향동 일조전망좋아요,"['25년이상', '융자금없는', '올수리', '역세권']",,
5,2234097379,1141011100,37.582123,126.951506,무악청구1차,R0,아파트,A01,월세,B2,7/15,20000,150,104,84,동향,"무악재5분,내부특올수리예정,입구선호동,남향일조좋아요,입주는협의가능","['25년이상', '융자금없는', '올수리', '역세권']",,
6,2234094387,1141011100,37.592166,126.94807,인왕산벽산,R0,아파트,A01,매매,A1,11/18,78000,0,107,84,남동향,"급매매,컨디션최고,내부 올수리,홍제역도보7분내외","['25년이내', '올수리', '급매']",/20221001_78/land_naver_16645869273922LP8f_JPEG/2022093019534665873_18617_rot.jpg,f130_98
7,2234194682,1141011100,37.580163,126.950672,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,5/12,85000,0,116,84,남동향,안산초등교편리한 조합원옵션 35 선호동물건 풀에어컨의 전망좋은집,"['2년이내', '융자금없는', '역세권', '방세개']",,
8,2234182645,1141011100,37.580966,126.950746,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,10/16,49000,0,67,49,남동향,"무악재역 초역세권,풀시스템에어컨,초입동 신혼부부 추전","['2년이내', '융자금없는', '역세권', '화장실한개']",,
9,2234189049,1141011100,37.580966,126.950746,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,15/16,60000,0,75,55,남서향,"무악재역 초역세권,풀시스템에어컨,","['2년이내', '융자금없는', '역세권', '화장실한개']",,
10,2234198673,1141011600,37.560478,126.929038,빌라,R0,빌라,C02,전세,B1,4/5,26800,0,30,22,북동향,주택임대사업자 100프로 HUG 보증보험 가입가능,"['4년이내', '융자금없는', '화장실한개']",/20221001_150/land_naver_1664605579913JTgll_JPEG/wm_638002341567850920_14859068_20228215253110.jpg,f130_98
11,2234238168,1141011800,37.59536,126.94367,홍은벽산,R0,아파트,A01,전세,B1,5/15,40000,0,78,58,동향,샷시포함 최근 올수리V 탁틔인 조망  V초품아대단지V협의입주,"['25년이상', '융자금없는', '올수리', '대단지']",,
12,2234157074,1141011100,37.581725,126.95018,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,12/15,50000,0,67,49,남동향,전망좋은 로열층. 초역세권.,"['2년이내', '융자금없는', '역세권', '방두개']",,
13,2234209979,1141011100,37.581725,126.95018,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,6/15,55000,0,75,55,남서향,23 무악재역1분 에어컨3대 완전풀옵션 최고좋은가격과옵션 강력하게추천해요,"['2년이내', '융자금없는', '역세권', '방두개']",,
14,2234234479,1141011800,37.594922,126.94195,홍은풍림1차,R0,아파트,A01,매매,A1,4/12,60000,0,78,56,남향,보금자리대출가능V생애첫주택으로추천V올수리,"['25년이상', '올수리', '방세개', '화장실한개']",,
15,2234241128,1141010800,37.570346,126.958542,독립문삼호,R0,아파트,A01,매매,A1,9/18,135000,0,136,114,남향,특올수리 올확장 샷시까지 주인거주 남향에 최고에 집,"['25년이상', '올수리', '대형평수', '방네개이상']",,
16,2234241025,1141010800,37.57091,126.958104,독립문삼호,R0,아파트,A01,매매,A1,18/18,109000,0,94,75,남향,전망최고 남향에 모두가 선호하는입구동입니다.,"['25년이상', '탑층', '방세개', '화장실두개']",,
17,2234239361,1141010800,37.570803,126.959261,독립문삼호,R0,아파트,A01,매매,A1,17/18,110000,0,94,75,남향,특올수리 남향에 인기좋은 입구동 주인거주.,"['25년이상', '올수리', '역세권', '방세개']",,
18,2234241092,1141010800,37.569739,126.959253,독립문삼호,R0,아파트,A01,전세,B1,2/16,63000,0,104,84,동향,전망최고 인기좋은 입구동입니다.,"['25년이상', '융자금없는', '방세개', '화장실두개']",,
19,2234161157,1141011100,37.580329,126.949867,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,12/17,80000,0,115,84,남향,신축아파트.시스템에어컨.식기세척기.오븐등옵션되었음.전망좋음.테라스있음,"['2년이내', '융자금없는', '테라스', '역세권']",,
0,2234151907,1141011100,37.580163,126.950672,서대문푸르지오센트럴파크,R0,아파트분양권,B01,월세,B2,6/12,40000,150,116,84,남동향,"조합원옵션,탁트인전망,안산초가까운선호동,풀에어컨설치,일조전망특급","['2년이내', '융자금없는', '역세권', '방세개']",,
1,2234129121,1141011100,37.580163,126.950672,서대문푸르지오센트럴파크,R0,아파트분양권,B01,월세,B2,6/12,30000,130,82,59,남동향,25 틔인조망굿.조합매물.풀옵션 에어컨4.강추.,"['2년이내', '융자금없는', '역세권', '방세개']",,
2,2234140523,1141011100,37.580966,126.950746,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,1/16,50000,0,75,55,남서향,"사진참조,시스템3,풀옵션,층간스트레스no,초입동,필로티3층높이,월세가능","['2년이내', '융자금없는', '역세권', '1층']",,
3,2234097062,1141011100,37.580163,126.950672,서대문푸르지오센트럴파크,R0,아파트분양권,B01,월세,B2,12/12,5000,250,82,59,남동향,"보증금저렴월세,옵션최고25,풀에어컨설치,보증금조정가능,일조전망특급물건","['2년이내', '융자금없는', '역세권', '탑층']",,
4,2234136908,1141011100,37.581407,126.949734,서대문푸르지오센트럴파크,R0,아파트분양권,B01,전세,B1,14/17,80000,0,103,75,남향,로얄동 정남향물건 31 조합원옵션 시스템에어컨 안산전망 아주좋습니다,"['2년이내', '융자금없는', '역세권', '방세개']",,
