,monthlyPay
0,50
1,20
2,33
3,40
4,33
5,20
6,37
7,40
8,40
9,25
10,35
11,32
12,30
13,40
14,33
15,40
16,45
17,48
18,40
19,37
20,53
21,40
22,53
23,35
24,35
25,10
26,25
27,35
28,55
29,25
30,40
31,43
32,35
33,35
34,45
35,40
36,25
37,38
38,45
39,30
40,10
41,40
42,38
43,45
44,27
45,37
46,42
47,30
48,100
49,60
50,45
51,85
52,15
53,45
54,55
55,33
56,60
57,100
58,55
59,100
60,30
61,70
62,20
63,50
64,55
65,90
66,60
67,30
68,50
69,47
70,28
71,35
72,40
73,45
74,50
75,45
76,45
77,50
78,45
79,85
80,45
81,35
82,45
83,45
84,55
85,60
86,40
87,80
88,47
89,38
90,40
91,47
92,55
93,10
94,40
95,50
96,32
97,30
98,45
99,40
100,38
101,50
102,60
103,45
104,20
105,30
106,40
107,30
108,30
109,60
110,33
111,32
112,45
113,25
114,35
115,40
116,60
117,40
118,20
119,34
120,35
121,35
122,18
123,38
124,35
125,40
126,33
127,38
128,25
129,29
130,30
131,70
132,30
133,43
134,35
135,39
136,40
137,26
138,20
139,20
140,30
141,22
142,40
143,40
144,40
145,26
146,20
147,34
148,45
149,30
150,58
151,30
152,34
153,30
154,40
155,38
156,20
157,30
158,20
159,40
160,50
161,29
162,35
163,30
164,40
165,50
166,45
167,60
168,40
169,38
170,50
171,70
172,45
173,33
174,29
175,40
176,100
177,48
178,45
179,47
180,35
181,35
182,53
183,40
184,37
185,40
186,60
187,35
188,30
189,50
190,43
191,30
192,40
193,50
194,40
195,40
196,43
197,40
198,40
199,55
200,40
201,30
202,50
203,55
204,40
205,35
206,40
207,60
208,20
209,20
210,50
211,43
212,45
213,50
214,55
215,40
216,80
217,47
218,80
219,90
220,45
221,40
222,35
223,40
224,45
225,35
226,25
227,35
228,59
229,45
230,50
231,32
232,40
233,10
234,55
235,45
236,30
237,35
238,30
239,40
240,70
241,55
242,40
243,60
244,40
245,25
246,65
247,30
248,45
249,30
250,55
251,75
252,40
253,25
254,40
255,26
256,45
257,60
258,20
259,60
260,10
261,35
262,31
263,35
264,37
265,50
266,25
267,31
268,35
269,60
270,25
271,50
272,45
273,45
274,70
275,80
276,35
277,55
278,35
279,30
280,40
281,65
282,20
283,35
284,50
285,40
286,50
287,37
288,34
289,40
290,50
291,38
292,75
293,40
294,45
295,76
296,30
297,35
298,40
299,35
300,78
301,40
302,70
303,30
304,26
305,40
306,58
307,29
308,40
309,60
310,30
311,70
312,47
313,55
314,48
315,40
316,45
317,40
318,42
319,35
320,60
321,20
322,35
323,40
324,75
325,30
326,47
327,50
328,60
329,55
330,30
331,35
332,32
333,42
334,50
335,50
336,45
337,27
338,40
339,20
340,50
341,25
342,30
343,55
344,80
345,37
346,40
347,35
348,35
349,40
350,52
351,45
352,111
353,50
354,55
355,20
356,50
357,12
358,10
359,29
360,50
361,30
362,30
363,25
364,48
365,40
366,50
367,29
368,50
369,55
370,29
371,50
372,60
373,55
374,20
375,30
376,10
377,12
378,15
379,20
380,30
381,40
382,25
383,45
384,10
385,50
386,40
387,45
388,50
389,48
390,45
391,30
392,45
393,40
394,30
395,35
396,50
397,50
398,55
399,40
400,40
401,30
402,50
403,45
404,30
405,20
406,10
407,80
408,35
409,35
410,40
411,45
412,40
413,60
414,44
415,87
416,30
417,53
418,10
419,20
420,60
421,60
422,15
423,30
424,40
425,10
426,45
427,9
428,39
429,40
430,80
431,87
432,35
433,10
434,45
435,55
436,10
437,40
438,45
439,30
440,35
441,45
442,40
443,80
444,20
445,20
446,60
447,55
448,54
449,75
450,70
451,53
452,29
453,30
454,20
455,36
456,35
457,59
458,55
459,50
460,20
461,40
462,35
463,40
464,43
465,35
466,40
467,48
468,55
469,50
470,85
471,50
472,45
473,50
474,35
475,60
476,30
477,80
478,50
479,50
480,41
481,37
482,35
483,25
484,20
485,32
486,60
487,40
488,38
489,30
490,30
491,40
492,39
493,30
494,60
495,65
496,60
497,20
498,40
499,35
500,35
501,45
502,50
503,40
504,45
505,54
506,50
507,100
508,45
509,40
510,40
511,30
512,80
513,28
514,30
515,30
516,70
517,70
518,50
519,35
520,30
521,40
522,45
523,45
524,35
525,50
526,35
527,35
528,70
529,75
530,45
531,20
532,30
533,30
534,45
535,35
536,35
537,54
538,70
539,30
540,45
541,50
542,45
543,33
544,40
545,40
546,45
547,54
548,40
549,35
550,100
551,20
552,45
553,25
554,40
555,30
556,30
557,40
558,50
559,40
560,37
561,30
562,30
563,40
564,30
565,30
566,45
567,52
568,45
569,45
570,40
571,30
572,25
573,35
574,28
575,30
576,45
577,30
578,20
579,40
580,37
581,35
582,43
583,30
584,30
585,40
586,40
587,40
588,30
589,30
590,38
591,40
592,40
593,50
594,40
595,38
596,37
597,40
598,25
599,20
600,80
601,37
602,45
603,42
604,43
605,20
606,40
607,42
608,37
609,42
610,63
611,50
612,50
613,30
614,49
615,35
616,40
617,46
618,30
619,49
620,44
621,25
622,45
623,45
624,40
625,28
626,40
627,40
628,55
629,35
630,30
631,40
632,47
633,35
634,70
635,55
636,40
637,42
638,40
639,30
640,40
641,42
642,40
643,43
644,10
645,25
646,80
647,35
648,40
649,30
650,40
651,75
652,70
653,60
654,50
655,50
656,40
657,50
658,60
659,65
660,40
661,40
662,35
663,40
664,60
665,55
666,80
667,70
668,38
669,50
670,50
671,50
672,60
673,48
674,55
675,55
676,84
677,70
678,73
679,45
680,40
681,30
682,60
683,65
684,42
685,35
686,40
687,50
688,5
689,65
690,20
691,65
692,100
693,70
694,30
695,39
696,40
697,70
698,40
699,80
700,65
701,25
702,75
703,15
704,25
705,75
706,60
707,15
708,50
709,35
710,42
711,100
712,42
713,40
714,40
715,25
716,50
717,15
718,5
719,12
720,20
721,35
722,55
723,34
724,60
725,50
726,45
727,5
728,35
729,15
730,60
731,39
732,15
733,25
734,10
735,35
736,40
737,40
738,15
739,38
740,70
741,30
742,42
743,35
744,35
745,29
746,40
747,46
748,45
749,37
750,42
751,55
752,15
753,50
754,30
755,45
756,33
757,58
758,40
759,60
760,40
761,42
762,45
763,27
764,30
765,45
766,60
767,40
768,20
769,39
770,60
771,100
772,40
773,47
774,30
775,32
776,33
777,20
778,35
779,29
780,65
781,35
782,45
783,40
784,50
785,50
786,47
787,45
788,45
789,50
790,30
791,45
792,37
793,60
794,27
795,32
796,47
797,35
798,45
799,25
800,42
801,35
802,55
803,50
804,40
805,39
806,82
807,40
808,60
809,30
810,30
811,65
812,50
813,35
814,53
815,38
816,25
817,60
818,37
819,90
820,25
821,45
822,20
823,37
824,40
825,35
826,45
827,38
828,65
829,40
830,45
831,45
832,52
833,70
834,65
835,53
836,38
837,65
838,35
839,50
840,54
841,33
842,33
843,40
844,25
845,45
846,33
847,30
848,85
849,27
850,45
851,85
852,80
853,38
854,65
855,40
856,35
857,29
858,35
859,30
860,30
861,30
862,30
863,40
864,35
865,43
866,33
867,40
868,40
869,50
870,45
871,35
872,45
873,35
874,70
875,25
876,45
877,54
878,38
879,44
880,70
881,50
882,35
883,33
884,29
885,43
886,42
887,45
888,35
889,55
890,55
891,45
892,37
893,35
894,50
895,25
896,48
897,47
898,32
899,35
900,50
901,30
902,35
903,45
904,50
905,35
906,25
907,70
908,42
909,45
910,45
911,39
912,47
913,42
914,30
915,39
916,47
917,35
918,50
919,20
920,40
921,40
922,60
923,27
924,43
925,30
926,100
927,40
928,37
929,40
930,42
931,32
932,38
933,35
934,40
935,35
936,25
937,50
938,43
939,32
940,30
941,45
942,40
943,35
944,40
945,42
946,30
947,47
948,45
949,45
950,55
951,27
952,40
953,65
954,45
955,40
956,45
957,60
958,30
959,29
960,32
961,40
962,50
963,38
964,48
965,31
966,53
967,30
968,50
969,45
970,45
971,55
972,35
973,35
974,33
975,34
976,65
977,40
978,65
979,35
980,37
981,80
982,48
983,31
984,35
985,70
986,45
987,38
988,43
989,20
990,50
991,32
992,50
993,45
994,50
995,48
996,38
997,50
998,35
999,34
1000,42
1001,30
1002,20
1003,50
1004,47
1005,50
1006,30
1007,49
1008,35
1009,25
1010,50
1011,45
1012,40
1013,55
1014,45
1015,38
1016,53
1017,70
1018,48
1019,40
1020,85
1021,40
1022,35
1023,45
1024,40
1025,30
1026,20
1027,33
1028,35
1029,56
1030,35
1031,43
1032,42
1033,30
1034,45
1035,55
1036,45
1037,45
1038,52
1039,55
1040,37
1041,29
1042,50
1043,45
1044,35
1045,35
1046,45
1047,35
1048,25
1049,53
1050,42
1051,40
1052,50
1053,40
1054,39
1055,35
1056,50
1057,44
1058,30
1059,40
1060,30
1061,40
1062,52
1063,43
1064,45
1065,45
1066,30
1067,40
1068,42
1069,31
1070,50
1071,45
1072,35
1073,42
1074,48
1075,45
1076,35
1077,85
1078,48
1079,32
1080,32
1081,50
1082,70
1083,50
1084,45
1085,40
1086,38
1087,40
1088,45
1089,25
1090,60
1091,50
1092,39
1093,30
1094,50
1095,50
1096,50
1097,50
1098,32
1099,45
1100,40
1101,55
1102,10
1103,45
1104,50
1105,30
1106,35
1107,45
1108,35
1109,53
1110,45
1111,45
1112,35
1113,55
1114,50
1115,38
1116,40
1117,27
1118,45
1119,47
1120,30
1121,50
1122,50
1123,30
1124,40
1125,43
1126,42
1127,45
1128,28
1129,80
1130,40
1131,50
1132,49
1133,38
1134,35
1135,50
1136,50
1137,47
1138,25
1139,50
1140,40
1141,38
1142,47
1143,40
1144,38
1145,50
1146,45
1147,60
1148,45
1149,49
1150,38
1151,43
1152,15
1153,45
1154,50
1155,35
1156,50
1157,50
1158,50
1159,45
1160,55
1161,55
1162,47
1163,22
1164,50
1165,35
1166,39
1167,50
1168,39
1169,30
1170,25
1171,34
1172,35
1173,40
1174,23
1175,19
1176,36
1177,40
1178,10
1179,25
1180,47
1181,32
1182,29
1183,35
1184,18
1185,40
1186,43
1187,38
1188,52
1189,40
1190,30
